"","Home","Away","H_Overall_W","H_Overall_L","H_Overall_Pct","H_Conf_W","H_Conf_L","H_Conf_Pct","H_Pts_for","H_Pts_against","H_SRS","H_SOS","H_Poll_curr","H_Poll_pre","H_Poll_high","H_Offensive_Points","H_Offensive_Pass_Completions","H_Offensive_Pass_Attempts","H_Offensive_Pass_Pct","H_Offensive_Pass_Yrds","H_Offensive_Pass_TD","H_Offensive_Rush_Attempts","H_Offensive_Rush_Yards","H_Offensive_Rush_Yards_Average","H_Offensive_Rush_TD","H_Offensive_Total_Plays","H_Offensive_Total_Yards","H_Offensive_Total_Average","H_Offensive_First_Downs_Pass","H_Offensive_First_Downs_Rush","H_Offensive_First_Downs_Penalty","H_Offensive_First_Downs_Total","H_Offensive_Penalties_Number","H_Offensive_Penalties_Yards","H_Offensive_Turnovers_Fumbles","H_Offensive_Turnovers_Pass_Interception","H_Offensive_Turnovers_Total","H_Defensive_Points","H_Defensive_Pass_Completions","H_Defensive_Pass_Attempts","H_Defensive_Pass_Pct","H_Defensive_Pass_Yrds","H_Defensive_Pass_TD","H_Defensive_Rush_Attempts","H_Defensive_Rush_Yards","H_Defensive_Rush_Yards_Average","H_Defensive_Rush_TD","H_Defensive_Total_Plays","H_Defensive_Total_Yards","H_Defensive_Total_Average","H_Defensive_First_Downs_Pass","H_Defensive_First_Downs_Rush","H_Defensive_First_Downs_Penalty","H_Defensive_First_Downs_Total","H_Defensive_Penalties_Number","H_Defensive_Penalties_Yards","H_Defensive_Turnovers_Fumbles","H_Defensive_Turnovers_Pass_Interception","H_Defensive_Turnovers_Total","A_Overall_W","A_Overall_L","A_Overall_Pct","A_Conf_W","A_Conf_L","A_Conf_Pct","A_Pts_for","A_Pts_against","A_SRS","A_SOS","A_Poll_curr","A_Poll_pre","A_Poll_high","A_Offensive_Points","A_Offensive_Pass_Completions","A_Offensive_Pass_Attempts","A_Offensive_Pass_Pct","A_Offensive_Pass_Yrds","A_Offensive_Pass_TD","A_Offensive_Rush_Attempts","A_Offensive_Rush_Yards","A_Offensive_Rush_Yards_Average","A_Offensive_Rush_TD","A_Offensive_Total_Plays","A_Offensive_Total_Yards","A_Offensive_Total_Average","A_Offensive_First_Downs_Pass","A_Offensive_First_Downs_Rush","A_Offensive_First_Downs_Penalty","A_Offensive_First_Downs_Total","A_Offensive_Penalties_Number","A_Offensive_Penalties_Yards","A_Offensive_Turnovers_Fumbles","A_Offensive_Turnovers_Pass_Interception","A_Offensive_Turnovers_Total","A_Defensive_Points","A_Defensive_Pass_Completions","A_Defensive_Pass_Attempts","A_Defensive_Pass_Pct","A_Defensive_Pass_Yrds","A_Defensive_Pass_TD","A_Defensive_Rush_Attempts","A_Defensive_Rush_Yards","A_Defensive_Rush_Yards_Average","A_Defensive_Rush_TD","A_Defensive_Total_Plays","A_Defensive_Total_Yards","A_Defensive_Total_Average","A_Defensive_First_Downs_Pass","A_Defensive_First_Downs_Rush","A_Defensive_First_Downs_Penalty","A_Defensive_First_Downs_Total","A_Defensive_Penalties_Number","A_Defensive_Penalties_Yards","A_Defensive_Turnovers_Fumbles","A_Defensive_Turnovers_Pass_Interception","A_Defensive_Turnovers_Total"
"1","Clemson","Notre Dame",12,0,1,9,0,1,45.7,14,22.78,2.2,2,2,2,45.7,22.3,34.3,65.2,282.3,2.4,38.7,257.8,6.7,3.5,72.9,540.1,7.4,12.4,11.1,1.3,24.8,4.7,42.2,0.7,0.7,1.3,14,16.3,30.1,54,198.4,0.9,38,91.8,2.4,0.6,68.1,290.2,4.3,8,5.6,1.7,15.3,6.4,51.3,0.8,0.7,1.4,12,0,1,9,0,1,33.75,17.25,19.06,NA,3,12,3,33.4,20.9,32,65.4,265.6,1.9,41.6,190.8,4.6,2.3,73.6,456.4,5.2,12.3,10,1.6,23.9,5,45.5,0.3,1,1.3,17.2,20.8,37,56.1,198,0.6,36.3,133.5,3.7,1.3,73.3,331.5,4.5,10.5,7.2,1.8,19.4,4.9,40.3,0.7,1,1.7
"2","Alabama","Oklahoma",12,0,1,8,0,1,49,13.8,26.93,3.1,1,1,1,49,19.8,28.3,69.7,332.1,3.7,38.6,205.9,5.3,2.3,66.9,538,8,13.2,10.2,1.6,24.9,5.8,53.3,0.6,0.3,0.9,13.8,15,29.7,50.6,168.2,1.2,34.4,114.9,3.3,0.5,64.1,283.1,4.4,7.5,5.8,2,15.3,6.5,54.9,0.6,1.2,1.8,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8
"3","Minnesota","Georgia Tech",6,6,0.5,3,6,0.333,28.5,27.9,3.71,4.38,NA,NA,NA,28.5,15.3,27.8,55,215.2,1.5,40,163.8,4.1,1.8,67.8,379,5.6,9.5,9,2.3,20.8,3.9,39.8,0.9,1.2,2.1,27.9,21.7,33.1,65.5,223.7,1.8,32.7,170.7,5.2,1.6,65.8,394.3,6,9.8,7.5,1.3,18.6,5.7,54.1,0.8,0.9,1.7,7,5,0.583,5,3,0.625,35.6,28.9,4.38,1.3,NA,NA,NA,35.6,4.3,9.5,44.7,84.3,0.6,58.4,335,5.7,3.7,67.9,419.3,6.2,3.1,17.3,1.4,21.8,3.9,37.3,1,0.3,1.3,28.9,19,29.2,65.1,217.9,1.8,33.3,149.8,4.5,1.7,62.4,367.8,5.9,10,9.3,0.9,20.3,4.3,35.8,1,1,2
"4","Miami","Wisconsin",7,5,0.583,4,4,0.5,30.9,18.2,8.27,1.02,NA,8,8,30.9,14.7,28.3,51.9,177.3,1.6,38,197.3,5.2,2.1,66.3,374.6,5.7,7.2,9.5,1.3,18,6,49.8,0.9,0.8,1.8,18.2,13.6,25.5,53.3,140.8,0.8,38.7,127.3,3.3,0.9,64.2,268.1,4.2,6.4,7.5,1.5,15.4,5.1,49.7,0.8,1.3,2,7,5,0.583,5,4,0.556,29.3,24.3,6.21,2.71,NA,4,4,29.3,14.4,24.4,59,168.6,1.5,42.8,268.4,6.3,2.3,67.2,437,6.5,8.1,13.2,0.7,21.9,6.1,57.3,0.8,1.1,1.9,24.3,16.9,28.7,59,200.8,1.2,35.9,157.9,4.4,1.4,64.6,358.8,5.6,8.8,7.9,2,18.7,3.6,34.7,0.8,0.8,1.7
"5","Purdue","Auburn",6,6,0.5,5,4,0.556,31.9,27.3,8.99,6.4,NA,NA,NA,31.9,25.9,39.3,66,317.8,2.3,31.1,141.2,4.5,1.5,70.3,459,6.5,12.2,7.7,2.4,22.3,6.3,64.8,0.5,0.9,1.4,27.3,23.8,38.3,62,280.8,1.4,37.3,164.6,4.4,1.8,75.6,445.3,5.9,12.8,8.8,2,23.6,7.8,77.5,0.3,0.9,1.2,7,5,0.583,3,5,0.375,28.3,19.6,9.28,5.7,NA,9,7,28.3,18.1,29.8,60.6,209.5,1.3,38.3,164.1,4.3,1.8,68.2,373.6,5.5,8.8,9.7,1.7,20.1,6.7,58.5,0.7,0.4,1.1,19.6,17.7,32,55.2,222.4,1.3,37.1,141.2,3.8,0.6,69.1,363.6,5.3,9.3,7.5,2.4,19.2,7,54.9,0.6,1,1.6
"6","West Virginia","Syracuse",8,3,0.727,6,3,0.667,42.3,26.5,14.45,3.45,15,17,6,42.3,24.7,37,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5,26.5,20.5,32.6,63,254.6,1.9,36.5,151.2,4.1,1.2,69.2,405.8,5.9,11,9.4,1.5,21.9,6.5,57.4,0.8,1.2,2,9,3,0.75,6,2,0.75,40.8,27.8,10.85,0.43,18,NA,12,40.8,20.8,36.1,57.7,261.5,1.8,45.8,210.3,4.6,2.9,81.9,471.8,5.8,10.3,10.9,2.3,23.6,6.9,56.5,0.5,0.8,1.3,27.8,19.7,35.4,55.5,263,1.7,37.7,163.8,4.3,1.6,73.1,426.8,5.8,10.3,8.1,1.8,20.1,7.8,61.2,1.1,1.4,2.5
"7","Iowa State","Washington State",7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3,10,2,0.833,7,2,0.778,38.3,23.1,12.49,-0.17,12,NA,7,38.3,36.9,52.3,70.5,379.8,3.1,21.8,83.2,3.8,1.8,74.1,462.9,6.2,18,4.7,1.9,24.9,6.7,65,0.3,0.8,1.1,23.1,17.8,30.3,58.5,208.8,1.4,33.9,137.2,4,1.5,64.3,345.9,5.4,8.9,7.6,2.8,19.3,7,60.2,0.8,0.8,1.7
"8","Florida","Michigan",9,3,0.75,5,3,0.625,34.5,20.4,12.17,3.75,11,NA,9,34.5,16.9,28.3,59.7,217.2,2.3,40.4,209.6,5.2,1.7,68.8,426.8,6.2,9.8,11.2,1.4,22.4,7.5,64.6,0.7,0.5,1.2,20.4,15.3,28.6,53.4,173.1,1.3,38.3,166.7,4.4,1.1,66.8,339.8,5.1,7.3,8.3,2.2,17.8,6.9,54.9,0.9,1,1.9,10,2,0.833,8,1,0.889,36.8,17.6,19.38,5.46,8,14,4,36.8,16.7,25.9,64.3,212.9,1.9,43.3,214.3,5,2.2,69.2,427.3,6.2,9.3,10.9,1.7,21.8,7,67,0.3,0.6,0.8,17.6,12.4,25.5,48.7,139.4,1,34.3,123.1,3.6,1.1,59.8,262.5,4.4,6.3,6.7,2.9,15.9,5.9,57.3,0.5,0.9,1.4
"9","South Carolina","Virginia",6,5,0.545,4,4,0.5,33,29.4,9.16,7.44,NA,NA,24,33,21.9,34.3,63.9,284.5,2.6,34.9,161.4,4.6,1.4,69.2,445.9,6.4,12.5,8.7,1.7,23,6.5,55.1,0.5,0.9,1.4,29.4,20.1,32,62.8,235.5,0.8,43.5,207.5,4.8,2.5,75.5,443.1,5.9,11.6,12,2.3,25.9,7.2,64.7,0.5,0.5,1.1,7,5,0.583,4,4,0.5,28.5,21.8,5,-0.75,NA,NA,23,28.5,17.2,27.3,63,211.9,1.9,37.6,170.3,4.5,1.5,64.8,382.2,5.9,9.3,10.2,1.3,20.7,4.7,41.5,0.8,0.8,1.5,21.8,14.9,27.8,53.6,180.1,1,35.2,157.1,4.5,1.3,63,337.2,5.4,8.3,7.5,1,16.7,5.6,52.7,0.3,1.3,1.6
"10","Stanford","Pitt",7,4,0.636,5,3,0.625,30.2,24.7,7.68,3.5,NA,13,7,30.2,22.5,34.3,65.5,291.6,2.5,28.6,109.8,3.8,1.2,62.9,401.5,6.4,12.4,4.9,3,20.3,5.5,42.5,0.3,1,1.3,24.7,22.7,36.2,62.8,281.7,1.2,36.3,139.6,3.8,1.5,72.5,421.4,5.8,12.7,7.6,1.1,21.5,6.6,66,0.5,0.8,1.3,7,5,0.583,6,2,0.75,28,27.8,6.34,4.76,NA,NA,24,28,13.9,22.6,61.6,153.4,1,40.1,232.7,5.8,2.3,62.7,386.1,6.2,5.5,11,1.3,17.7,7.3,70.8,0.7,0.4,1.1,27.8,17.6,30.8,57.2,225.6,1.8,37.3,175.3,4.7,1.5,68.1,400.9,5.9,9.7,9.2,2.4,21.3,4.9,40.8,0.8,0.8,1.5
"11","Michigan State","Oregon",7,5,0.583,5,4,0.556,19.8,18,7.31,5.73,NA,11,11,19.8,19.4,38,51.1,221,1,34.9,122,3.5,1.2,72.9,343,4.7,11.4,6.8,2.1,20.3,6.1,56.3,0.7,1.1,1.8,18,21.8,37,58.8,230.2,1.1,30.4,81.3,2.7,0.7,67.4,311.5,4.6,10.9,4.4,1.5,16.8,5.5,51.6,0.8,1.2,1.9,8,4,0.667,5,4,0.556,37.2,27,6.78,-0.39,NA,24,12,37.2,18.9,32,59.1,254.7,2.3,41.6,192.8,4.6,2.3,73.6,447.5,6.1,11,9.8,1.7,22.5,4.8,46.1,0.8,0.7,1.4,27,19.6,34.3,57,247.4,2,37.9,145.7,3.8,1.1,72.3,393.1,5.4,11.6,7.7,1.9,21.2,5.7,43.4,0.5,1.3,1.8
"12","Missouri","Oklahoma State",8,4,0.667,4,4,0.5,36.9,24.4,15.2,6.62,NA,NA,NA,36.9,21.5,34.4,62.5,271.6,2.1,42.6,197.3,4.6,2.2,77,468.8,6.1,12.2,10,2.3,24.4,7,61.3,0.5,0.7,1.2,24.4,18.4,33.3,55.3,256.1,1.7,34.1,122.9,3.6,0.8,67.4,379,5.6,10.2,6.2,1.8,18.1,6.7,56.9,0.5,0.7,1.2,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1
"13","Northwestern","Utah",8,4,0.667,8,1,0.889,23.7,21.7,7.76,5.09,21,NA,20,23.7,22.6,37.8,59.8,237,1.2,37.8,114.8,3,1.8,75.6,351.8,4.7,11.4,6.8,2.6,20.8,2.8,26.7,0.2,1.1,1.3,21.7,21.8,34.8,62.7,238,1.2,33.3,134.7,4,1.1,68.2,372.7,5.5,10.2,7.8,1,18.9,7.2,68.5,0.7,0.8,1.4,9,4,0.692,6,4,0.6,28.7,18.5,11.47,3.23,17,NA,16,28.7,17.2,27.8,61.6,207.2,1.3,40.8,189.5,4.6,1.8,68.7,396.6,5.8,8.7,10.2,1.5,20.4,5.2,47.8,0.8,0.8,1.5,18.5,19.3,33.7,57.3,213.3,1.2,34.1,102.9,3,1,67.8,316.2,4.7,9.1,5.9,2,17,4.7,45.2,0.5,1.1,1.5
"14","North Carolina State","Texas A&M",8,3,0.727,5,3,0.625,33.5,24.5,7.21,-0.25,NA,NA,16,33.5,25.6,38.1,67.3,319.2,1.9,37.2,135.6,3.6,2.1,75.3,454.8,6,14.4,7.5,2.5,24.4,4.8,47.4,0.5,0.7,1.2,24.5,22.2,36.6,60.5,289.2,1.5,31.4,116.2,3.7,1.2,68,405.4,6,11.6,6.6,1.6,19.9,7.2,54.8,0.7,0.6,1.4,8,4,0.667,5,3,0.625,34.7,26.3,11.96,6.96,22,NA,16,34.7,20,34.7,57.7,262,2,41.8,203.8,4.9,1.9,76.5,465.8,6.1,12.5,11.4,2.6,26.5,6,48.9,0.7,0.7,1.3,26.3,18.8,30.8,60.8,262.7,2.1,28.8,92,3.2,1.2,59.7,354.7,5.9,9.8,5.8,1.6,17.2,6.9,58.9,0.3,0.4,0.8
"15","Mississippi State","Iowa",8,4,0.667,4,4,0.5,29.1,12,13.69,5.19,20,18,14,29.1,12.6,24.3,51.9,175.6,1.8,39.3,226.4,5.8,2.1,63.6,402,6.3,6.9,11.8,1.3,20,6.3,54.8,0.2,0.7,0.8,12,16.6,30.6,54.2,164.2,0.4,34.2,105.1,3.1,0.6,64.8,269.3,4.2,7.6,7.4,1.8,16.8,5.2,39.6,0.5,1,1.5,8,4,0.667,5,4,0.556,31.5,17.4,13.16,3.07,NA,NA,18,31.5,18.4,31.4,58.6,227.7,2,39,162,4.2,1.6,70.4,389.7,5.5,10.9,8.2,1.8,20.8,5.2,46,0.5,0.8,1.3,17.4,18,30.8,58.4,186.8,1.5,32.8,104.1,3.2,0.7,63.6,290.8,4.6,7.8,7.5,1.3,16.6,5.8,53.2,0.5,1.5,2
"16","Kentucky","Penn State",9,3,0.75,5,3,0.625,26.6,16.3,12.23,4.48,16,NA,11,26.6,15.4,23.4,65.8,164.8,1.2,40.9,204.2,5,2.1,64.3,369,5.7,7.6,10.9,1.8,20.3,6.3,57.8,0.7,0.8,1.5,16.3,16.6,28.4,58.4,181.3,1,34.9,145.7,4.2,0.9,63.3,327,5.2,7.7,7.6,1.8,17,8.2,69.9,0.8,0.7,1.5,9,3,0.75,6,3,0.667,34.6,20,13.38,4.71,14,10,8,34.6,15.8,28.8,54.8,215.8,1.6,39.9,208.5,5.2,2.8,68.7,424.3,6.2,8.9,10.2,2.3,21.4,4.8,43.9,1,0.6,1.6,20,17.8,33.4,53.4,186.5,1.2,42.3,168.4,4,1.2,75.7,354.9,4.7,9.1,9.4,1.8,20.3,7.8,70.2,0.6,1.1,1.7
"17","Washington","Ohio State",10,3,0.769,8,2,0.8,26.6,15.5,11.87,3.02,10,6,6,26.6,17.5,26.9,65.1,232.5,1.4,40.6,179.9,4.4,1.8,67.5,412.4,6.1,10.9,9.2,1.6,21.8,4.8,44.1,0.4,0.9,1.3,15.5,20.8,32.3,64.3,185.4,0.7,33,116.4,3.5,0.9,65.3,301.8,4.6,9.3,6.2,1,16.5,5,43,0.6,0.8,1.5,11,1,0.917,8,1,0.889,43.3,25.8,17.43,3.85,6,5,2,43.3,28,40.2,69.7,356,3.5,41,188.1,4.6,1.8,81.2,544.1,6.7,16,10.3,2.9,29.2,8.2,76,0.7,0.6,1.3,25.8,17.4,32.5,53.6,237.6,1.3,35.7,161.9,4.5,1.8,68.2,399.5,5.9,9.8,7.3,2.6,19.7,6,60,0.9,0.8,1.7
"18","Texas","Georgia",9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4,11,1,0.917,8,1,0.889,40.1,17.2,22.88,4.96,4,3,2,40.1,16.3,23.5,69.5,221,2.3,41.3,260.3,6.3,2.4,64.8,481.3,7.4,9.6,12.9,1.5,24,5.7,49.6,0.6,0.4,1,17.2,18.4,30.1,61.2,175.1,0.9,32.4,128.4,4,1,62.5,303.5,4.9,8.4,6.7,1.5,16.6,4.8,37.9,0.8,0.5,1.3
